parse_text,parse_name
"['mapplecrush', 'prabowo', 'Menerka', 'Kisikisi', 'Gerindra', 'Gibran', 'Cawapres', 'Prabowo', 'Bukan', 'Erick', 'Thohir', 'dekade']",['edinafatiatus']
"['Didukung', 'ratusan', 'millenial', 'dari', 'Aceh', 'Tenggara', 'untuk', 'Mas', 'Gibran', 'maju', 'mnjadi', 'Cawapres', 'Mas', 'Gibran', 'dinilai', 'masyarakat', 'sbgi', 'pemimpin', 'muda', 'yg', 'energik', 'kreatif', 'serta', 'berani', 'mengambil', 'keputusan', 'demi', 'kepentingan', 'masyarakat', 'dan', 'kemajuan', 'bangsa', 'Indonesia', 'GibranCawapres', 'Jumat', 'hoshi', 'httpstcoqucmtxEkB']",['arabellarowyx']
"['lucatelese', 'Non', 'condivido', 'le', 'tue', 'idee', 'politiche', 'per', 'ti', 'considero', 'uno', 'dei', 'migliori', 'e', 'pi', 'obiettivi', 'giornalisti', 'del', 'panorama', 'Italiano', 'dove', 'lonest', 'intellettuale', 'pare', 'sia', 'merce', 'rara', 'chapea']",['gibran']
"['Dennysiregar', 'Gibran', 'tegak', 'lurus', 'mendukung', 'Ganjar', 'httpstcoinKVtGP']",['delyano']
"['gibrantweet', 'Mas', 'gibran', 'saya', 'liat', 'liat', 'akhir', 'ini', 'ternyta', 'yg', 'gak', 'suka', 'itu', 'rata', 'rata', 'dri', 'pendukung', 'kubu', 'ny', 'lwn', 'kalo', 'mas', 'gibran', 'maju', 'bhkan', 'ad', 'yg', 'berpura', 'jd', 'pendukung', 'pak', 'prabowo', 'seakan', 'menolak', 'anda', 'wkwkwkwk']",['gagalsekali']
"['Ia', 'pun', 'meminta', 'agar', 'Presiden', 'Joko', 'Widodo', 'dan', 'Gibran', 'bijak', 'untuk', 'menyikapi', 'putusan', 'tersebut', 'BersamaPrabowo', 'MenataMasaDepan', 'Prabowo', 'Subianto']",['brendskienavarr']
"['gibrantweet', 'ketawanya', 'sajak', 'mengiyakan']",['KlonthongSapi']
"['deddysitorus', 'Loh', 'kok', 'ada', 'gibrantweet', 'Pake', 'kurang', 'NG', 'nya', 'lagi']",['LakiLucky']
"['Jika', 'Gibran', 'jadi', 'duet', 'Prabowo', 'Pak', 'jokowi', 'anda', 'sudah', 'KELEWAT', 'BATAS', 'KacangLupaKulit']",['DZKRI']
"['gibrantweet', 'yang', 'rekomendasiin', 'Mas', 'Ganjar', 'dan', 'Pak', 'Mahfud', 'awal', 'awal', 'sebenernya', 'Bapak', 'mu', 'Mas', 'Wali', 'so', 'biar', 'mereka', 'nanti', 'mikir', 'sendiri', 'saja', 'siapa', 'yang', 'lebih', 'malu']",['volmiii']
"['Ditanya', 'soal', 'Komunikasi', 'dengan', 'Airlangga', 'Hartarto', 'Begini', 'Respons', 'Gibran', 'airlanggacenter', 'GibranMasukGolkar', 'httpstcoMkUqNFt']",['MizzboothangMia']
"['Gibran', 'mengatakan', 'sejauh', 'ini', 'tidak', 'ada', 'Ia', 'mengaku', 'santai', 'dan', 'mengalir', 'saja', 'dalam', 'menjalaninya', 'BersamaPrabowo', 'MenataMasaDepan', 'Prabowo', 'Subianto']",['brendskienavarr']
